182.156.0.0 /16 
27.107.0.0 /16 
14.194.0.0 /16 
14.195.0.0 /16 
49.200.0.0 /16 
49.201.0.0 /16 
49.202.0.0 /16 
49.203.0.0 /16 
49.249.64.0/18
49.249.128.0/18
49.249.192.0/19
49.248.224.0/20
49.248.240.0/22
49.248.244.0/23
49.249.0.0/19
49.249.32.0/19
49.249.224.0/19
115.117.192.0/18
115.118.208.0/20
115.118.224.0/19
115.118.16.0/22
115.118.44.0/22
115.118.48.0/20
115.118.80.0/20
182.156.0.0 /16 
27.107.0.0 /16 
14.194.0.0 /16 
14.195.0.0 /16 
49.200.0.0 /16 
49.201.0.0 /16 
49.202.0.0 /16 
49.203.0.0 /16 
49.249.64.0/18
49.249.128.0/18
49.249.192.0/19
49.248.224.0/20
49.248.240.0/22
49.248.244.0/23
49.249.0.0/19
49.249.32.0/19
49.249.224.0/19
115.117.192.0/18
115.118.208.0/20
115.118.224.0/19
115.118.16.0/22
115.118.44.0/22
115.118.48.0/20
115.118.80.0/20
115.118.108.0/22
115.118.144.0/20
115.118.180.0/22
115.118.184.0/22
115.118.188.0/22
115.118.204.0/22
115.117.128.0/18
