
Oct 10 18:39:06 +0000 OX-56195b4a87bdb [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a87d64 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a8bfa6 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a8ca0f [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a8bfa6 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a8f1af [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a90b32 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a9252f [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a92d73 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a94d88 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a958a0 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a9642a [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a98338 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a99460 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a9c710 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a9a7ec [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a9de9d [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4aa3e1c [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4aa4fe7 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aa8a03 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4aa8d2c [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4aa68a5 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aa8a03 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aac6f4 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4aaee6c [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4aaf0e6 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4aaf41e [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ab2614 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ab30ba [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ab2614 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ab5d55 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aba6e2 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ab9b01 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4ab9c6a [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aba6e2 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ac252b [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ac9abb [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4acb466 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ac9e74 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4acb5ca [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4acf1c8 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ad2e24 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4ad86ff [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ad693c [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ad86ff [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ad8472 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4add422 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ade5de [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4adb15c [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4adefdd [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ae02de [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4ade5de [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4adefdd [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ae1f56 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ae1cb2 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4ae1a2a [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aea7c3 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4aea7c3 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aeb5d6 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aec925 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4aedd08 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4af11a9 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4af2f4b [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b0403e [  warning]  in_array() expects parameter 2 to be array, null given
